# schema=v5.native_operator_error_map.v1
# source_count=556
# interpreter_fixed_count=197
# dynamic_format_count=358
# inventory_sha256=0ba0c29826e96f54f574a8db9c6319d29f79c08082cacf170ea8bf4163e7b175
source_id	origin	native_pattern_json	reason_cn_json	handling_group
INTERPRETER_FMT_9B1AEFC856DC	CHKS:rs274ngc/interp_namedparams.cc	"storing r/o '%s' %f"	"内部只读参数%s写入异常"	INTERNAL
INTERPRETER_FMT_9B34C6610BD1	CHKS:rs274ngc/interp_convert.cc	"BUG: An axis incorrectly moved along with an indexer"	"错误: 一个轴不正确地与一个索引器一起移动"	INTERNAL
INTERPRETER_FMT_9B98E8206283	ERS:rs274ngc/interp_convert.cc	"BUG: trying to index incorrect axis"	"错误: 试图索引不正确的轴"	INTERNAL
INTERPRETER_FMT_9D385559250A	ERS:rs274ngc/interp_g7x.cc	"G7x error: Cannot use W in incremental mode (G91)"	"增量模式G91下不能使用G7X的W参数"	PROGRAM_GEOMETRY
INTERPRETER_FMT_9E2CCEBFA6E4	ERS:rs274ngc/interp_convert.cc	"BUG: Code not G93, G94, or G95"	"控制系统内部指令状态异常"	INTERNAL
INTERPRETER_FMT_9EDC7B6CA621	ERS:rs274ngc/interp_convert.cc	"BUG: Code not G7 or G8"	"控制系统内部指令状态异常"	INTERNAL
INTERPRETER_FMT_A37093C9B0D9	CHKS:rs274ngc/interp_execute.cc	"Invalid spindle ($) number in Spindle Feed command"	"主轴进给命令中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_A3B522D32310	CHKS:rs274ngc/interp_convert.cc	"Cannot change tool offset with cutter radius compensation on"	"使用刀具半径补偿时不能改变刀具偏置"	TOOL
INTERPRETER_FMT_A3BA81450A49	CHKS:rs274ngc/interp_cycles.cc	"G19.1 canned cycle is not possible on a machine without U axis"	"没有U轴的机床不能使用G19.1固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_A3F9D70B5E99	CHKS:rs274ngc/interp_python.cc	"pycall(%s):\n%s"	"扩展调用%s失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_A3FB8CC7DB18	CHKS:rs274ngc/interp_read.cc	"Expected ] reading bracketed parameter"	"预期 ] 读方括号内的参数"	PROGRAM_SYNTAX
INTERPRETER_FMT_A508961F0237	CHKS:rs274ngc/interp_cycles.cc	"G18 canned cycle is not possible on a machine without Y axis"	"没有Y轴的机床不能使用G18固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_A68AAB50DC46	ERS:rs274ngc/interp_g7x.cc	"G%d.%d can only be used in XZ plane (G18)"	"G%d.%d只能在XZ平面（G18）使用"	PROGRAM_GEOMETRY
INTERPRETER_FMT_A6C57CC22D32	ERS:rs274ngc/interp_namedparams.cc	"%s: trailing garbage after closing bracket"	"%s：右方括号后存在多余字符"	PROGRAM_SYNTAX
INTERPRETER_FMT_A7EF13C1C01F	CHKS:rs274ngc/interp_convert.cc	"Can specify P without X and Y only for the first control point"	"可以在没有X和Y的情况下指定P，仅用于第一个控制点"	PROGRAM_SYNTAX
INTERPRETER_FMT_A8EA5EF00118	CHKS:rs274ngc/interp_convert.cc	"Chosen spindle (%i) not turning in G76"	"选择的主轴(%i)未在G76中转动"	SPINDLE
INTERPRETER_FMT_A950DC182049	ERS:rs274ngc/interp_remap.cc	"add_parameters: can't add '%s' to args"	"无法把参数%s加入扩展调用"	PROGRAM_FLOW
INTERPRETER_FMT_A9A5AF7BA284	CHKS:rs274ngc/interp_convert.cc	"Must specify both I and J, or neither"	"必须同时指定I和J，或者都不指定"	PROGRAM_SYNTAX
INTERPRETER_FMT_AA00A4DD4A5E	CHKS:rs274ngc/interp_convert.cc	"Cannot probe with feed per rev mode"	"使用每转进给模式时无法探测"	MOTION_PROBE
INTERPRETER_FMT_AA68553B62E6	CHKS:rs274ngc/interp_convert.cc	"Spindle ($) number out of range in M5 Command\nnum_spindles =%i. $=%d\n"	"M5命令中的主轴 ($) 编号超出范围 num_spindles =%i. $=%d"	SPINDLE
INTERPRETER_FMT_AB07D39008DD	CHKS:rs274ngc/interp_convert.cc	"Cannot wait for analog input with cutter radius compensation on"	"刀具半径补偿开启时，不能等待模拟输入"	PROGRAM_GEOMETRY
INTERPRETER_FMT_ABD2FCB715DD	CHKS:rs274ngc/interp_convert.cc	"Cannot change the active coordinate system with cutter radius compensation on"	"开启刀具半径补偿功能后，不能改变活动坐标系"	PROGRAM_GEOMETRY
INTERPRETER_FMT_AC8845269578	CHKS:rs274ngc/interp_convert.cc	"Radius of cutter compensation entry arc is not greater than the tool radius"	"刀具补偿入口半径不大于刀具半径"	TOOL
INTERPRETER_FMT_AF038A592B6A	CHKS:rs274ngc/interp_read.cc	"Found 'M99' instead of 'O endsub' after 'O sub'"	"O sub之后应使用O endsub，不能使用M99"	PROGRAM_FLOW
INTERPRETER_FMT_B18CC0BD6FE0	ERS:rs274ngc/interp_g7x.cc	"G7X error: Both A and C parameters on a corner"	"G7X拐角不能同时设置A和C参数"	PROGRAM_GEOMETRY
INTERPRETER_FMT_B1C4F1E91691	CHKS:rs274ngc/interp_check.cc	"E word with no G70, G76, M66, M67 or M68 to use it"	"E参数没有配套的G70、G76、M66、M67或M68指令"	PROGRAM_SYNTAX
INTERPRETER_FMT_B1E1A2BF3486	CHKS:rs274ngc/interp_convert.cc	"Arc to straight motion makes a corner the compensated tool can't fit in without gouging"	"弧到直线运动做的角,刀具补偿不合适会做成刨削槽"	TOOL
INTERPRETER_FMT_B27A325B4580	ERS:rs274ngc/interp_convert.cc	"BUG: Invalid plane in comp_get_current"	"刀具补偿当前平面状态无效"	INTERNAL
INTERPRETER_FMT_B3A1ABDE1DC6	CHKS:rs274ngc/interp_convert.cc	"Cannot change coordinate systems with cutter radius compensation on"	"使用刀具半径补偿时不能改变坐标系"	PROGRAM_GEOMETRY
INTERPRETER_FMT_B50268252E79	CHKS:rs274ngc/interp_convert.cc	"Cannot set auxiliary digital output with cutter radius compensation on"	"刀具半径补偿打开时，不能设置辅助数字输出"	PROGRAM_GEOMETRY
INTERPRETER_FMT_B54C72A00493	CHKS:rs274ngc/interp_convert.cc	"Arc to arc motion is invalid because the arcs have the same center"	"圆弧到圆弧运动是无效的，因为圆弧具有相同的中心"	PROGRAM_GEOMETRY
INTERPRETER_FMT_B56031E94248	CHKS:rs274ngc/interp_convert.cc	"Splines must be in the XY plane"	"样条曲线必须位于XY平面中"	PROGRAM_GEOMETRY
INTERPRETER_FMT_B65F8F059A82	CHKS:rs274ngc/interp_check.cc	"P value must be 0,1,or 2 with M19"	"P值 在与M19一起使用时必须为 0、1、2"	PROGRAM_SYNTAX
INTERPRETER_FMT_B6CABE56BC3E	CHKS:rs274ngc/interp_python.cc	"pycall(%s): Python plugin not initialized"	"扩展调用%s尚未初始化"	INTERNAL
INTERPRETER_FMT_B8F68D3DA801	CHKS:rs274ngc/interp_convert.cc	"Cannot disable overrides with cutter radius compensation on"	"使用刀具半径补偿时无法禁用超速"	PROGRAM_GEOMETRY
INTERPRETER_FMT_BAB7EEA6A934	ERS:rs274ngc/rs274ngc_pre.cc	"maximum nesting of remapped blocks exceeded"	"重映射程序块嵌套层数超过上限"	PROGRAM_FLOW
INTERPRETER_FMT_BAF1ADFB34B8	CHKS:rs274ngc/interp_cycles.cc	"Cannot feed with zero feed rate"	"无法以零进给速度进给"	PROGRAM_SYNTAX
INTERPRETER_FMT_BD3DBB852F23	ERS:rs274ngc/interp_o_word.cc	"BUG:  execute_call():  arrived with call_type=CT_NONE"	"控制系统内部调用状态异常"	INTERNAL
INTERPRETER_FMT_BF41E79F3F1C	CHKS:rs274ngc/interp_convert.cc	"Cannot wait for digital input with cutter radius compensation on"	"刀具半径补偿开启时，不能等待数字输入"	PROGRAM_GEOMETRY
INTERPRETER_FMT_C01003A6AB6C	CHKS:rs274ngc/interp_convert.cc	"Cannot do an arc in planes G17.1, G18.1, or G19.1"	"在平面G17.1，G18.1或G19.1中不能做圆弧"	PROGRAM_GEOMETRY
INTERPRETER_FMT_C15AF78B6517	ERS:rs274ngc/interp_convert.cc	"BUG: Invalid plane in comp_get_programmed"	"刀具补偿编程平面状态无效"	INTERNAL
INTERPRETER_FMT_C177A0B0FCE9	CHKS:rs274ngc/rs274ngc_pre.cc	"Parameter file name is missing"	"参数文件名缺失"	CONFIG
INTERPRETER_FMT_C23713915619	CHKS:rs274ngc/interp_arc.cc	"Zero-radius arc: start=(%c%.4f,%c%.4f) center=(%c%.4f,%c%.4f) end=(%c%.4f,%c%.4f) r1=%.4f r2=%.4f"	"零半径弧: start=(%c%.4f,%c%.4f) center=(%c%.4f,%c%.4f) end=(%c%.4f,%c%.4f) r1=%.4f r2=%.4f"	PROGRAM_GEOMETRY
INTERPRETER_FMT_C3864ED9E089	ERS:rs274ngc/interp_convert.cc	"%c word missing in absolute center arc"	"绝对中心圆弧缺少%c字"	PROGRAM_GEOMETRY
INTERPRETER_FMT_C41C5122EAFE	CHKS:rs274ngc/interp_find.cc	"Cannot use polar coordinates with G53"	"G53不能使用极坐标"	PROGRAM_SYNTAX
INTERPRETER_FMT_C43FFD7C4AE3	CHKS:rs274ngc/rs274ngc_pre.cc	"exception adding Python predefined named parameter: %s"	"预定义扩展参数加载异常"	INTERNAL
INTERPRETER_FMT_C44AED2D6A23	CHKS:rs274ngc/interp_check.cc	"P value not an integer with G10"	"P值在与G10一起使用时不为整数"	PROGRAM_SYNTAX
INTERPRETER_FMT_C57D14AAE39E	CHKS:rs274ngc/interp_read.cc	"Left bracket missing after 'elseif'"	"'elseif'后左括号丢失"	PROGRAM_SYNTAX
INTERPRETER_FMT_C5E24F39048B	CHKS:rs274ngc/interp_read.cc	"Found 'm98' code with no P-word"	"M98指令缺少P参数"	PROGRAM_FLOW
INTERPRETER_FMT_C7F227CCCE32	CHKS:rs274ngc/interp_cycles.cc	"G19 canned cycle is not possible on a machine without X axis"	"没有X轴的机床不能使用G19固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_C9C0921B004F	CHKS:rs274ngc/interp_find.cc	"Incremental motion with polar coordinates is indeterminate when at the origin"	"在极坐标下的增量运动在原点时是不确定的"	PROGRAM_SYNTAX
INTERPRETER_FMT_CA45D244E84C	CHKS:rs274ngc/interp_convert.cc	"I J words not allowed with G10 L2"	"G10 L2不允许使用I J字"	PROGRAM_SYNTAX
INTERPRETER_FMT_CAB024A8A847	ERS:rs274ngc/rs274ngc_pre.cc	"BUG - remappings not empty"	"控制系统内部重映射队列未清空"	INTERNAL
INTERPRETER_FMT_CACD4DCB6B75	CHKS:rs274ngc/interp_read.cc	"Multiple W words on one line"	"一行上有多个W字"	PROGRAM_SYNTAX
INTERPRETER_FMT_CAFAE2D0BC99	ERS:rs274ngc/interp_o_word.cc	"File:%s line:%d sub: o|%s| found in illegal location"	"文件:%s 行:%d sub: o|%s| 发现在非法的位置"	PROGRAM_SYNTAX
INTERPRETER_FMT_CB66400044C1	CHKS:rs274ngc/interp_find.cc	"Must specify angle in polar coordinate if at the origin"	"如果在原点，必须在极坐标中指定角度"	PROGRAM_SYNTAX
INTERPRETER_FMT_CD75E4741308	CHKS:rs274ngc/interp_convert.cc	"G43.2: No axes specified and H word missing"	"G43.2:未指定轴且缺失 H 编号"	PROGRAM_SYNTAX
INTERPRETER_FMT_CDE183A1BBEC	CHKS:rs274ngc/interp_convert.cc	"Failed to restore interp state on abort '%s': %s"	"中止时无法恢复插补状态 '%s': %s"	PROGRAM_SYNTAX
INTERPRETER_FMT_CE75898B5289	CHKS:rs274ngc/interp_cycles.cc	"Cannot put a Z in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用Z轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_CE7D87A1F77F	ERS:rs274ngc/rs274ngc_pre.cc	"BUG: remap_finished(): phase=%d nesting=%d"	"控制系统内部重映射结束状态异常（阶段%d，层级%d）"	INTERNAL
INTERPRETER_FMT_D2DD7A9AC10A	CHKS:rs274ngc/interp_check.cc	"P value should be 1 or greater with G2 or G3"	"G2或G3，P值应为1或更大"	PROGRAM_SYNTAX
INTERPRETER_FMT_D30C81470B13	CHKS:rs274ngc/interp_convert.cc	"G43.2: Can not have both H and axis words"	"G43.2: 不能同时有 H 编号和轴编号"	PROGRAM_SYNTAX
INTERPRETER_FMT_D32A6BE0EC55	ERS:rs274ngc/interp_convert.cc	"BUG: Code not G43, G43.1, G43.2, or G49"	"控制系统内部指令状态异常"	INTERNAL
INTERPRETER_FMT_D36B3CB731B2	CHKS:rs274ngc/interp_convert.cc	"No valid P word with M65"	"M65没有有效的P字"	PROGRAM_SYNTAX
INTERPRETER_FMT_D3A4A795F25C	ERS:rs274ngc/interp_queue.cc	"Straight feed in concave corner cannot be reached by the tool without gouging"	"在凹角直线进给不能到达,会做成刨削槽"	TOOL
INTERPRETER_FMT_D43E7B7EA9C4	CHKS:rs274ngc/interp_read.cc	"Expected # reading parameter"	"预期 # 阅读参数"	PROGRAM_SYNTAX
INTERPRETER_FMT_D6221D69D586	ERS:rs274ngc/interp_namedparams.cc	"Named INI parameter #<%s> not found in INI file '%s': error=0x%x"	"系统配置中未找到参数#<%s>"	CONFIG
INTERPRETER_FMT_D85DFF677313	ERS:rs274ngc/rs274ngc_pre.cc	"recursive remapping for %s detected"	"检测到%s递归重映射"	PROGRAM_FLOW
INTERPRETER_FMT_D9834669FC26	CHKS:rs274ngc/interp_convert.cc	"You must specify a number of control points at least equal to the order L = %d"	"您必须指定至少等于L = %d的控制点数"	PROGRAM_SYNTAX
INTERPRETER_FMT_DB277FFA3E34	CHKS:rs274ngc/interp_convert.cc	"Cannot convert spline with cutter radius compensation"	"不能用刀具半径补偿来转换样条曲线"	PROGRAM_GEOMETRY
INTERPRETER_FMT_DB2853F63500	CHKS:rs274ngc/interp_remap.cc	"convert_remapped_code: initial read returned %s"	"重映射指令首次读取失败（状态%s）"	PROGRAM_FLOW
INTERPRETER_FMT_DC05B5CB3F9D	CHKS:rs274ngc/interp_convert.cc	"Must specify both P and Q with G5"	"必须用G5指定P和Q"	PROGRAM_SYNTAX
INTERPRETER_FMT_DDB98F599115	CHKS:rs274ngc/interp_convert.cc	"M7x: restore_settings failed executing: '%s': %s"	"M7x: restore_settings 执行失败: '%s': %s"	PROGRAM_SYNTAX
INTERPRETER_FMT_DE13F47EF5EF	ERS:rs274ngc/rs274ngc_pre.cc	"remap_finished: got %d - not in cblock.remappings!"	"控制系统内部重映射结束状态异常（%d）"	PROGRAM_FLOW
INTERPRETER_FMT_DE8F939676E8	ERS:rs274ngc/interp_python.cc	"exception during generator call: %s"	"扩展程序执行异常"	INTERNAL
INTERPRETER_FMT_DE9F9BB7CDF6	CHKS:rs274ngc/interp_convert.cc	"G%d.1 with no D word"	"G%d.1，无D字"	PROGRAM_SYNTAX
INTERPRETER_FMT_DEB45814763A	CHKS:rs274ngc/interp_convert.cc	"Must specify both I and J with G5.1"	"必须用G5.1指定I和J"	PROGRAM_SYNTAX
INTERPRETER_FMT_DFCAD9E9A30D	CHKS:rs274ngc/interp_convert.cc	"Spindle ($) number out of range in M19 Command"	"M19命令中的主轴 ($) 编号超出范围"	SPINDLE
INTERPRETER_FMT_E1B87A7FE100	CHKS:rs274ngc/interp_convert.cc	"Spindle ($) number out of range in M3 Command\nnum_spindles =%i. $=%d\n"	"M3命令中的主轴 ($) 编号超出范围 num_spindles =%i. $=%d"	SPINDLE
INTERPRETER_FMT_E3CA2CB278C6	CHKS:rs274ngc/interp_convert.cc	"Cannot enable overrides with cutter radius compensation on"	"使用刀具半径补偿时无法启用超速"	PROGRAM_GEOMETRY
INTERPRETER_FMT_E3E423AB6D6E	ERS:rs274ngc/interp_g7x.cc	"G7X error: either I or K must be present for arc"	"G7X圆弧必须提供I或K参数"	PROGRAM_GEOMETRY
INTERPRETER_FMT_E47B37A3766E	ERS:rs274ngc/interp_convert.cc	"BUG: Invalid plane in comp_set_programmed"	"刀具补偿编程平面写入状态无效"	INTERNAL
INTERPRETER_FMT_E4EEE371FE7E	ERS:rs274ngc/interp_g7x.cc	"G7X error: %s"	"G7X循环参数无效"	PROGRAM_GEOMETRY
INTERPRETER_FMT_E5216D682F4C	CHKS:rs274ngc/interp_check.cc	"Q word with no G5, G10, G64, G73, G76, G83, M19, M66, M67, M68 or user M code that uses it"	"没有G5，G10，G64，G73，G76，G83，M19，M66，M67，M68或使用它的用户M代码的Q字"	PROGRAM_SYNTAX
INTERPRETER_FMT_E58D8E4C4581	CHKS:rs274ngc/interp_read.cc	"Bad character '\\%03o' used"	"使用错误的字符'\\%03o'"	PROGRAM_SYNTAX
INTERPRETER_FMT_E67A227CFBA4	CHKS:rs274ngc/interp_internal.cc	"Polar coordinates can only be used for motion"	"极坐标只能用于运动"	PROGRAM_SYNTAX
INTERPRETER_FMT_E8286D301DD5	ERS:rs274ngc/interp_o_word.cc	"File:%s line:%d redefining sub: o|%s| already defined in file:%s"	"文件:%s 行:%d 重新定义 sub: o|%s| 已经在文件:%s中定义"	PROGRAM_SYNTAX
INTERPRETER_FMT_E8F1E1F16CB3	CHKS:rs274ngc/interp_convert.cc	"G%d.1 with L word, but plane is not G18"	"G%d.1和L字，但平面不是 G18"	PROGRAM_GEOMETRY
INTERPRETER_FMT_EB85674FD4F7	CHKS:rs274ngc/interp_cycles.cc	"Cannot put a V in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用V轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_EC0CDEFC2880	CHKS:rs274ngc/interp_convert.cc	"The move just after exiting cutter compensation mode must be straight, not an arc"	"退出刀具补偿模式之后的移动必须是直线的，而不是弧线"	TOOL
INTERPRETER_FMT_ED1FC01E73F1	CHKS:rs274ngc/interp_cycles.cc	"Spindle turning counterclockwise in G84"	"在G84中主轴逆时针转动"	SPINDLE
INTERPRETER_FMT_ED6A0348A45C	CHKS:rs274ngc/interp_read.cc	"Left bracket missing after 'while'"	"'while'后左括号丢失"	PROGRAM_SYNTAX
INTERPRETER_FMT_EDBD025D5848	CHKS:rs274ngc/interp_namedparams.cc	"fetch_hal_param: hal_ready(): %d"	"获取底层控制参数: 底层控制_ready(): %d"	PROGRAM_SYNTAX
INTERPRETER_FMT_EEA0C26C3F83	ERS:rs274ngc/interp_o_word.cc	"handler_returned: %s returned double: %f - invalid"	"扩展处理%s返回了无效数值%f"	PROGRAM_SYNTAX
INTERPRETER_FMT_EFCE2F7FFF65	CHKS:rs274ngc/interp_read.cc	"Multiple U words on one line"	"一行上有多个U字"	PROGRAM_SYNTAX
INTERPRETER_FMT_F04AB9B2FE01	ERS:rs274ngc/interp_namedparams.cc	"Named hal parameter #<%s> not found"	"底层控制中未找到参数#<%s>"	PROGRAM_SYNTAX
INTERPRETER_FMT_F09F343574CC	CHKS:rs274ngc/interp_convert.cc	"Zero degree inside corner is invalid for cutter compensation"	"零度内角对刀具补偿无效"	TOOL
INTERPRETER_FMT_F0AEBD62CE27	CHKS:rs274ngc/interp_convert.cc	"Spindle not turning in G33.1"	"在 G33.1 中主轴未转动"	SPINDLE
INTERPRETER_FMT_F0DAECBC1B91	CHKS:rs274ngc/interp_convert.cc	"Invalid analog index with M68"	"无效的模拟索引与M68"	PROGRAM_SYNTAX
INTERPRETER_FMT_F3BD1C7E8781	ERS:rs274ngc/rs274ngc_pre.cc	"BUG - check find_remappings()!! status=%d nesting=%d"	"控制系统内部重映射状态异常（状态%d，层级%d）"	INTERNAL
INTERPRETER_FMT_F3C6702BD539	ERS:rs274ngc/interp_remap.cc	"user-defined %s:%s"	"用户程序错误：%s：%s"	USER_PROGRAM
INTERPRETER_FMT_F3DE1A5ADF64	ERS:rs274ngc/interp_convert.cc	"BUG: Invalid plane in comp_set_current"	"刀具补偿当前平面写入状态无效"	INTERNAL
INTERPRETER_FMT_F4BE066D6BD8	ERS:rs274ngc/interp_g7x.cc	"G7x.x  requires a Q word"	"G7X循环缺少Q参数"	PROGRAM_GEOMETRY
INTERPRETER_FMT_F4DF30BB41D8	CHKS:rs274ngc/interp_convert.cc	"In G76, I must not be 0"	"在 G76，I 不能为 0"	PROGRAM_SYNTAX
INTERPRETER_FMT_F4EF8B9E157F	CHKS:rs274ngc/interp_check.cc	"P word with no G2 G3 G4 G10 G64 G5 G5.2 G76 G82 G86 G88 G89 or M50 M51 M52 M53 M62 M63 M64 M65 M66 M98 or user M code to use it"	"P 参数没有与 G2 G3 G4 G10 G64 G5 G5.2 G76 G82 G86 G88 G89 或 M50 M51 M52 M53 M62 M63 M64 M65 M66 M98 或者用户自定义M命令一起使用"	PROGRAM_FLOW
INTERPRETER_FMT_F51A11096EEA	CHKS:rs274ngc/interp_o_word.cc	"%s (remapped) uses Python functions, but the Python plugin is not available"	"重映射指令%s需要扩展功能，但该功能当前不可用"	PROGRAM_FLOW
INTERPRETER_FMT_F6CC723689FE	CHKS:rs274ngc/interp_convert.cc	"Cannot set motion analog output with cutter radius compensation on"	"刀具半径补偿开启时，不能设置运动模拟输出"	PROGRAM_GEOMETRY
INTERPRETER_FMT_F83C8F09F00F	CHKS:rs274ngc/interp_convert.cc	"Cannot set auxiliary analog output with cutter radius compensation on"	"刀具半径补偿开启时，不能设置辅助模拟输出"	PROGRAM_GEOMETRY
INTERPRETER_FMT_F9516FFA2151	CHKS:rs274ngc/interp_cycles.cc	"Cannot use canned cycles with cutter compensation on"	"使用刀具补偿时不能使用固定循环"	TOOL
INTERPRETER_FMT_FDB0113F15C3	CHKS:rs274ngc/interp_convert.cc	"You must specify both X and Y coordinates for Control Points"	"您必须为控制点指定X和Y坐标"	PROGRAM_SYNTAX
INTERPRETER_FMT_FDE35B2127FF	ERS:rs274ngc/interp_g7x.cc	"G7x error: Cannot use U in incremental mode (G91)"	"增量模式G91下不能使用G7X的U参数"	PROGRAM_GEOMETRY
INTERPRETER_FMT_FEBDF07C81A4	CHKS:rs274ngc/interp_convert.cc	"Cannot change tools with cutter radius compensation on"	"使用刀具半径补偿时无法更换刀具"	TOOL
MOTION_FMT_026D154AEB4A	reportError:motion/command.c	"Probe is already clear when starting G38.4 or G38.5 move"	"在启动G38.4或G38.5时，探头已经清除"	MOTION_PROBE
MOTION_FMT_058CC65B238C	reportError:motion/command.c	"can't add probe move"	"不能添加探头移动"	MOTION_PROBE
MOTION_FMT_08AAE3303E8F	reportError:motion/command.c	"Attempt to release brake of non-existent spindle <%d>"	"尝试释放不存在的主轴制动器 <%d>"	SPINDLE
MOTION_FMT_09B1E5798E39	reportError:motion/command.c	"%s move on line %d would exceed %c's %s limit"	"%s在行%d将超过%c的%s极限"	MOTION_LIMIT
MOTION_FMT_0A6C2BE6C04F	reportError:motion/command.c	"need to be enabled, in coord mode for linear move"	"需要启用才能在坐标模式下进行线性移动"	MACHINE_MODE
MOTION_FMT_0DE92679D65C	reportError:motion/command.c	"Probe is already tripped when starting G38.2 or G38.3 move"	"探头在启动G38.2或G38.3时已经跳闸"	MOTION_PROBE
MOTION_FMT_109FE6BF4DB1	reportError:motion/command.c	"joint %d: compensation values must increase"	"关节 %d: 补偿值必须增加"	CONFIG
MOTION_FMT_11003372640D	reportError:motion/command.c	"must be in joint mode or disabled to unhome"	"必须处于关节模式或禁用才可以消零"	MOTION_HOME
MOTION_FMT_13F001E392C8	reportError:motion/command.c	"Can't jog joint %d further past max soft limit."	"不能点动关节 %d 超出正向软极限。"	MOTION_LIMIT
MOTION_FMT_14212A028810	reportError:motion/control.c	"G38.2 move finished without making contact."	"G38.2 移动完成后不接触."	MOTION_PROBE
MOTION_FMT_150764DD057F	reportError:motion/command.c	"can't enable motion, enable input is false"	"无法启用运动，使能输入为false"	SAFETY_ENABLE
MOTION_FMT_1C54800F7CDF	reportError:motion/control.c	"Can't wheel jog locking joint_num=%d"	"关节%d当前被锁定，无法手轮点动"	MOTION_JOG
MOTION_FMT_1FB249B5DD33	reportError:motion/command.c	"%s move on line %d gave non-finite joint location on joint %d"	"%s在行%d关节%d上给出非有限关节位置"	MOTION_KINEMATICS
MOTION_FMT_1FCD246E8375	reportError:motion/command.c	"Can't jog joint %d further past max hard limit."	"不能点动关节 %d 超出正向硬极限。"	MOTION_LIMIT
MOTION_FMT_2F909C267ED5	reportError:motion/command.c	"Can't jog invalid joint number %d."	"不能点动，无效的关节号码 %d."	MOTION_JOG
MOTION_FMT_34B5429DF845	reportError:motion/command.c	"%s move on line %d would exceed joint %d's negative limit"	"%s移动在行%d将超过关节%d's的负极限"	MOTION_LIMIT
MOTION_FMT_36A8570D7E47	reportError:motion/control.c	"joint %d amplifier fault"	"关节 %d 放大器故障"	DRIVE_FEEDBACK
MOTION_FMT_3AAE6F44FBCA	reportError:motion/command.c	"Attempt to stop non-existent spindle <%d>"	"尝试停止不存在的主轴 <%d>"	SPINDLE
MOTION_FMT_3B7BD36FDD7A	reportError:motion/control.c	"kinematicsInverse gave non-finite joint location on joint %d"	"运动学逆向在关节%d上给出非有限关节位置"	MOTION_KINEMATICS
MOTION_FMT_3F298AB997D6	reportError:motion/command.c	"can't do circular move with limits exceeded"	"超出限位，不能做环形移动"	MOTION_LIMIT
MOTION_FMT_41AA1E260B99	reportError:motion/command.c	"Can't jog any joints while homing."	"在回零时不能点动任何关节。"	MOTION_JOG
MOTION_FMT_46B58D27CD79	reportError:motion/command.c	"Can't jog joint when not enabled."	"未启用时不能进行点动关节。"	MOTION_JOG
MOTION_FMT_4871EE81B3F6	reportError:motion/command.c	"can't add circular move at line %d, error code %d"	"不能在行%d处添加环形移动，错误代码%d"	MOTION_PLANNER
MOTION_FMT_4BA7F4C91837	reportError:motion/control.c	"kinematicsInverse failed"	"运动学逆向失败"	MOTION_KINEMATICS
MOTION_FMT_501262782FB0	reportError:motion/command.c	"unrecognized command %d"	"无法识别的指令 %d"	INTERNAL
MOTION_FMT_5149D2A0E504	reportError:motion/control.c	"Exceeded POSITIVE soft limit (%.5f) on joint %d\n"	"正向软限位 (%.5f) 在关节 %d 上已超程"	MOTION_LIMIT
MOTION_FMT_5508D4E5F7D8	reportError:motion/command.c	"emcmotGetRotaryUnlocked(): No unlock pin configured for joint %d\n   Use motmod parameter: unlock_joints_mask=%X'"	"关节%d未配置旋转解锁信号"	CONFIG
MOTION_FMT_5C5699EBD985	reportError:motion/command.c	"can't do rigid tap move with limits exceeded"	"超出限制不能做刚性攻丝移动"	MOTION_LIMIT
MOTION_FMT_60FB8A6E1E7C	reportError:motion/command.c	"can't do probe move with limits exceeded"	"超出限制不能做探头移动"	MOTION_LIMIT
MOTION_FMT_62EB884338AB	reportError:motion/control.c	"Motion Stopped by misc error %d"	"由于杂项错误 %d 运动停止"	INTERNAL
MOTION_FMT_63ACC1EF0077	reportError:motion/command.c	"need to be enabled, in coord mode for circular move"	"需要启用才能在坐标模式下进行环形移动"	MACHINE_MODE
MOTION_FMT_65D9C168AB40	reportError:motion/command.c	"invalid V5 wrapped rotary target state"	"旋转轴等效角目标状态无效"	MOTION_KINEMATICS
MOTION_FMT_6AFF3B0592DB	reportError:motion/control.c	"G38.4 move finished without breaking contact."	"G38.4 移动完成后不断开接触."	MOTION_PROBE
MOTION_FMT_6B1899B56B65	reportError:motion/control.c	"joint %d following error"	"关节 %d 跟随错误"	DRIVE_FEEDBACK
MOTION_FMT_73BD5ADAF3CF	reportError:motion/control.c	"Jog aborted by jog-stop-immediate"	"点动已由立即停止指令中止"	MOTION_JOG
MOTION_FMT_77E7B4BBC81C	reportError:motion/motion.c	"all joints must be homed before going into teleop mode"	"在进入teleop模式之前，所有关节都必须回零"	MOTION_HOME
MOTION_FMT_81DD291C04A1	reportError:motion/command.c	"can't do linear move with limits exceeded"	"超出限位，不能做线性移动"	MOTION_LIMIT
